date : 01:00 18/02/2023 | % : 0.26% | value : 464.49298004657084$ 
date : 01:00 19/02/2023 | % : 0.75% | value : 464.49298004657084$ 
date : 01:00 20/02/2023 | % : 1.68% | value : 464.49298004657084$ 
date : 01:00 21/02/2023 | % : 1.60% | value : 464.49298004657084$ 
date : 01:00 22/02/2023 | % : 1.33% | value : 464.49298004657084$ 
date : 01:00 23/02/2023 | % : 1.01% | value : 464.49298004657084$ 
date : 01:00 24/02/2023 | % : 3.31% | value : 464.49298004657084$ 
date : 01:00 25/02/2023 | % : 0.12% | value : 464.49298004657084$ 
date : 01:00 26/02/2023 | % : 1.70% | value : 464.49298004657084$ 
date : 01:00 27/02/2023 | % : 0.03% | value : 464.49298004657084$ 
date : 01:00 28/02/2023 | % : 1.51% | value : 464.49298004657084$ 
date : 01:00 01/03/2023 | % : 2.04% | value : 464.49298004657084$ 
date : 01:00 02/03/2023 | % : 0.70% | value : 464.49298004657084$ 
date : 01:00 03/03/2023 | % : 3.97% | value : 464.49298004657084$ 
date : 01:00 04/03/2023 | % : 0.03% | value : 464.49298004657084$ 
date : 01:00 05/03/2023 | % : 0.65% | value : 464.49298004657084$ 
date : 01:00 06/03/2023 | % : 0.09% | value : 464.49298004657084$ 
date : 01:00 07/03/2023 | % : 1.18% | value : 464.49298004657084$ 
date : 01:00 08/03/2023 | % : 2.29% | value : 464.49298004657084$ 
date : 01:00 09/03/2023 | % : 5.19% | value : 464.49298004657084$ 
date : 01:00 10/03/2023 | % : 1.62% | value : 464.49298004657084$ 
date : 01:00 11/03/2023 | % : -1.22% | value : 464.49298004657084$ 
date : 01:00 12/03/2023 | % : 5.92% | value : 464.49298004657084$ 
date : 01:00 13/03/2023 | % : 8.83% | value : 464.49298004657084$ 
date : 01:00 14/03/2023 | % : 3.81% | value : 464.49298004657084$ 
date : 01:00 15/03/2023 | % : 1.58% | value : 464.49298004657084$ 
date : 01:00 16/03/2023 | % : 2.85% | value : 464.49298004657084$ 
date : 01:00 17/03/2023 | % : 6.63% | value : 464.49298004657084$ 
date : 01:00 18/03/2023 | % : 1.81% | value : 464.49298004657084$ 
date : 01:00 19/03/2023 | % : 3.68% | value : 464.49298004657084$ 
date : 01:00 20/03/2023 | % : 0.92% | value : 464.49298004657084$ 
date : 01:00 21/03/2023 | % : 1.38% | value : 464.49298004657084$ 
date : 01:00 22/03/2023 | % : 2.51% | value : 464.49298004657084$ 
date : 01:00 23/03/2023 | % : 3.69% | value : 464.49298004657084$ 
date : 01:00 24/03/2023 | % : 3.15% | value : 464.49298004657084$ 
date : 01:00 25/03/2023 | % : 0.03% | value : 464.49298004657084$ 
date : 01:00 26/03/2023 | % : 1.81% | value : 464.49298004657084$ 
date : 02:00 27/03/2023 | % : 3.18% | value : 464.49298004657084$ 
date : 02:00 28/03/2023 | % : 0.50% | value : 464.49298004657084$ 
date : 02:00 29/03/2023 | % : 3.69% | value : 464.49298004657084$ 
date : 02:00 30/03/2023 | % : 0.62% | value : 464.49298004657084$ 
